BTH_YR,GENDER,SCTR_CD,LN_AMT,DLQ_TYPE,DLQ_CD_1,DLQ_CD_2,DLQ_AMT,CD_OPN_CD_1,CD_OPN_CD_2
66,0,0,0.0,0.0,0,0,0.0,1,1
48,1,3,570.0,0.0,0,0,0.0,1,1
27,0,0,0.0,0.0,0,0,0.0,1,1
31,1,0,0.0,0.0,0,0,0.0,1,1
31,1,0,0.0,0.0,0,0,0.0,1,1
31,1,0,0.0,0.0,0,0,0.0,1,1
29,1,0,0.0,0.0,0,0,0.0,1,1
29,1,0,0.0,0.0,0,0,0.0,1,1
29,1,0,0.0,0.0,0,0,0.0,1,1
27,1,0,0.0,0.0,0,0,0.0,1,1
47,0,0,0.0,0.0,0,0,0.0,1,1
47,0,0,0.0,0.0,0,0,0.0,1,1
60,0,0,0.0,0.0,0,0,0.0,1,1
60,0,0,0.0,0.0,0,0,0.0,1,1
60,0,0,0.0,0.0,0,0,0.0,1,1
41,0,0,0.0,0.0,0,0,0.0,1,1
41,0,0,0.0,0.0,0,0,0.0,1,1
20,0,0,0.0,0.0,0,0,0.0,1,1
36,1,0,0.0,0.0,0,0,0.0,1,1
36,1,0,0.0,0.0,0,0,0.0,1,1
